Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0402_1005Metric,66.86,-8.54,0.0,top
C10,10uF,C_1206_3216Metric,56.64,-15.0,90.0,top
C11,220nF,C_0603_1608Metric,69.58,-17.87,180.0,top
C12,10uF,C_1206_3216Metric,58.94,-15.0,90.0,top
C13,100nF,C_0805_2012Metric,61.07,-14.4,90.0,top
C14,10uF,C_1206_3216Metric,78.65,-14.09,-90.0,top
C15,100uF,CP_Elec_6.3x7.7,58.25,-20.85,180.0,top
C16,1nF,C_0402_1005Metric,65.3,-17.75,-90.0,top
C17,1nF,C_0402_1005Metric,64.3,-17.75,-90.0,top
C18,470pF,C_0402_1005Metric,66.3,-17.75,-90.0,top
C19,470pF,C_0402_1005Metric,63.3,-17.75,-90.0,top
C2,470pF,C_0402_1005Metric,64.74,-8.54,180.0,top
C20,100nF,C_0805_2012Metric,79.04,-10.42,180.0,top
C21,39pF,C_0402_1005Metric,14.45,-17.875,90.0,top
C22,39pF,C_0402_1005Metric,14.45,-20.35,-90.0,top
C23,10uF,C_0805_2012Metric,40.47,-10.11,0.0,top
C24,10uF,C_0805_2012Metric,38.35,-20.9,180.0,top
C25,100nF,C_0402_1005Metric,25.98,-9.54,90.0,top
C26,100nF,C_0402_1005Metric,28.125,-18.675,0.0,top
C27,100nF,C_0402_1005Metric,16.025,-20.63,180.0,top
C28,1uF,C_0402_1005Metric,27.47,-21.3,0.0,top
C29,100nF,C_0402_1005Metric,28.125,-19.7,0.0,top
C3,100uF,CP_Elec_8x10,51.07,-9.98,-90.0,top
C30,1uF,C_0402_1005Metric,27.47,-22.3,0.0,top
C31,100nF,C_0402_1005Metric,24.725,-14.675,0.0,top
C32,100nF,C_0402_1005Metric,18.44,-23.9,180.0,top
C33,100nF,C_0402_1005Metric,20.57,-14.675,0.0,top
C34,100nF,C_0402_1005Metric,16.03,-19.61,180.0,top
C35,100nF,C_0402_1005Metric,28.95,-22.525,90.0,top
C36,100nF,C_0402_1005Metric,29.975,-22.525,90.0,top
C37,10uF,C_0805_2012Metric,18.2,-13.175,90.0,top
C4,4.7uF,C_1206_3216Metric,58.94,-10.4,-90.0,top
C5,4.7uF,C_1206_3216Metric,56.64,-10.4,-90.0,top
C6,100nF,C_0805_2012Metric,61.07,-11.0,-90.0,top
C7,220nF,C_0603_1608Metric,69.58,-7.5,0.0,top
C8,4.7nF,C_0402_1005Metric,32.3,-19.025,0.0,top
D1,SZESD1L001W1T2G,SOT65P210X110-6N,78.19,-22.44,180.0,top
D2,Neopixel Side Light SK6812,LED_Neopixel_Side_Light_SK6812,87.25,-6.995,90.0,top
F1,5A,Fuse_1206_3216Metric,13.37,-9.7,180.0,top
J3,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,84.015,-17.0,90.0,top
L1,4.7uH,L_Sunlord_MWSA0603S,42.15,-5.48,0.0,top
L2,4.7uH,L_Sunlord_MWSA0603S,73.11,-12.69,-90.0,top
Q1,AGM310A,AGM310A,62.02,-4.69,90.0,top
R1,10K,R_0402_1005Metric,67.3,-17.75,-90.0,top
R10,1K,R_0402_1005Metric,16.03,-18.6,180.0,top
R11,27R,R_0402_1005Metric,30.075,-20.0,180.0,top
R12,27R,R_0402_1005Metric,30.075,-21.025,180.0,top
R13,22K,R_0402_1005Metric,14.38,-12.24,-90.0,top
R14,2K,R_0402_1005Metric,14.38,-14.21,-90.0,top
R15,22K,R_0402_1005Metric,55.02,-16.08,90.0,top
R16,3.3K,R_0402_1005Metric,54.08,-16.08,90.0,top
R2,R010,R_2818_7146Metric,50.8,-19.745,-90.0,top
R3,10R,R_0603_1608Metric,68.83,-9.71,90.0,top
R4,4.7K,R_0402_1005Metric,34.25,-19.025,0.0,top
R6,0R,R_0603_1608Metric,68.83,-15.66,90.0,top
R7,100K,R_0603_1608Metric,81.47,-9.93,90.0,top
R8,1K,R_0402_1005Metric,23.58,-9.54,-90.0,top
R9,10K,R_0402_1005Metric,24.78,-9.54,-90.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,42.07,-15.51,90.0,top
U3,W25Q32JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm,31.375,-14.175,270.0,top
U4,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,21.65,-19.3,90.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,12.15,-19.05,-90.0,top
