Comment,Designator,Footprint,LCSC
2N7002KQ-7,Q1,SOT-23,C111971
1K,"R1,R3",R_0402_1005Metric,C11702
HCB1608KF-121T20,FB1,L_0603_1608Metric,C127301
10uF,"C16,C3,C4",C_0805_2012Metric,C15850
RJ45_Hanrun_HR911105A_Horizontal,J3,RJ45_Hanrun_HR911105A_Horizontal,C163507
W25Q32JVSSIQ,U2,SOIC-8_5.23x5.23mm_P1.27mm,C179173
RP2040,U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
27R,"R4,R5",R_0402_1005Metric,C25100
10K,R2,R_0402_1005Metric,C25744
22K,R6,R_0402_1005Metric,C25768
SW_Push,SW1,XKB_TS-1101_SWITCH,C318938
W5500,U4,LQFP-48_7x7mm_P0.5mm,C32843
39pF,"C1,C2",C_0402_1005Metric,C342946
USB_B_Micro,J2,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,C404969
2K,R7,R_0402_1005Metric,C4109
1uF,"C10,C8",C_0402_1005Metric,C52923
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
X322512MSB4SI,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C70593
100nF,"C11,C12,C13,C14,C15,C17,C5,C6,C7,C9",C_0402_1005Metric,C724032
BAT60B,D1,D_SOD-323,C7502695
X322512MSB4SI,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
