Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,39pF,C_0402_1005Metric,31.58,-0.82,0.0,top
C10,1uF,C_0402_1005Metric,34.45,-4.76,0.0,top
C11,100nF,C_0402_1005Metric,34.45,-6.73,0.0,top
C12,100nF,C_0402_1005Metric,34.45,-8.7,0.0,top
C13,100nF,C_0402_1005Metric,37.32,-0.82,0.0,top
C14,100nF,C_0402_1005Metric,37.32,-2.79,0.0,top
C15,100nF,C_0402_1005Metric,37.32,-4.76,0.0,top
C16,10uF,C_0805_2012Metric,50.65,-7.3,0.0,top
C17,100nF,C_0402_1005Metric,37.32,-6.73,0.0,top
C2,39pF,C_0402_1005Metric,31.58,-2.79,0.0,top
C3,10uF,C_0805_2012Metric,50.65,-1.28,0.0,top
C4,10uF,C_0805_2012Metric,50.65,-4.29,0.0,top
C5,100nF,C_0402_1005Metric,31.58,-4.76,0.0,top
C6,100nF,C_0402_1005Metric,50.0,-11.1,0.0,top
C7,100nF,C_0402_1005Metric,31.58,-8.7,0.0,top
C8,1uF,C_0402_1005Metric,34.45,-0.82,0.0,top
C9,100nF,C_0402_1005Metric,50.0,-12.2,0.0,top
D1,BAT60B,D_SOD-323,24.6525,-18.325,0.0,top
FB1,HCB1608KF-121T20,L_0603_1608Metric,24.4875,-21.055,0.0,top
J2,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,57.585,-21.165,0.0,top
J3,RJ45_Hanrun_HR911105A_Horizontal,RJ45_Hanrun_HR911105A_Horizontal,8.2,-12.085,-90.0,top
Q1,2N7002KQ-7,SOT-23,20.0375,-19.25,180.0,top
R1,1K,R_0402_1005Metric,54.39,-1.9,0.0,top
R2,10K,R_0402_1005Metric,54.39,-3.89,0.0,top
R3,1K,R_0402_1005Metric,54.39,-5.88,0.0,top
R4,27R,R_0402_1005Metric,54.39,-7.87,0.0,top
R5,27R,R_0402_1005Metric,54.39,-9.86,0.0,top
R6,22K,R_0402_1005Metric,54.39,-11.85,0.0,top
R7,2K,R_0402_1005Metric,54.39,-13.84,0.0,top
SW1,SW_Push,XKB_TS-1101_SWITCH,69.0,-4.0,180.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,69.6,-14.5,0.0,top
U2,W25Q32JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm,60.3,-6.4,180.0,top
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,43.5625,-11.8,90.0,top
U4,W5500,LQFP-48_7x7mm_P0.5mm,23.2675,-6.725,270.0,top
Y1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,42.4,-19.9,0.0,top
Y2,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,20.2175,-14.625,0.0,top
